USBlyzer Report

Capture List

Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
START,0001,21:05:06.843,,,,,,,,,,,,
Create,0002,21:05:15.515,8.674432 s,,Create,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
Create,0003-0002,21:05:15.515,8.674458 s,25 us,Create,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
URB,0004,21:05:15.531,8.683411 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 0A 5E 65,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 06 00 0A 5E 65
URB,0005-0004,21:05:15.531,8.692675 s,9.263 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
URB,0006,21:05:15.546,8.704661 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
Cleanup,0007,21:05:15.546,8.706039 s,,Cleanup,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
Cleanup,0008-0007,21:05:15.546,8.706044 s,5 us,Cleanup,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
Close,0009,21:05:15.546,8.706046 s,,Close,,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
URB,0010,21:05:15.546,8.706051 s,,Class Interface,Set Control Line State (Ifc:0),,out,,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA8004555860h,
URB,0011-0010,21:05:15.546,8.707649 s,1.597 ms,Control Transfer,Set Control Line State (Ifc:0),,out,--:--:00,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA8004555860h,Success (Success)
Close,0012-0009,21:05:15.546,8.707661 s,1.615 ms,Close,,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
Create,0013,21:05:15.656,8.814890 s,,Create,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,
Create,0014-0013,21:05:15.656,8.814912 s,22 us,Create,Dexcom.Studio.exe,,,,FFFFFA8004F8A7F0h,USBSER000,usbser,FFFFFA80045D8C60h,Success
URB,0015,21:05:15.656,8.819139 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 0B 7F 75,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,,01 06 00 0B 7F 75
URB,0016-0015,21:05:15.671,8.821525 s,2.386 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80045D8C60h,Success (Success)
